,PM2.5_Stationary
318,-0.10622220456779141
319,-0.1997132804495645
320,-0.291196978977317
321,-0.31143610699727464
322,-0.26236420677519634
323,-0.05129328122965915
324,-2.2512895617674804
325,1.7491977895948982
326,-0.09097173679787796
327,-0.10008340843169461
328,0.0
329,0.0
330,-0.05406719203052546
331,0.0
332,0.0
333,0.2876819335629597
334,0.5108254570993794
335,0.24294612468883292
336,0.7595221451695207
337,-0.08617768798417247
338,-0.13926205239098044
339,-0.1754486554624226
340,-0.17958555002695897
341,-0.12188979635828145
342,0.0
343,0.05406721152368865
344,0.03448617012409927
345,0.0
346,-0.01709443043703307
347,-0.05310981590956132
348,-0.20067065505811876
349,0.06453850724868526
350,-0.021053404765209116
351,-0.4489500994805604
352,-0.06899284767743574
353,-0.03636763094336637
354,-0.03774031373783826
355,-0.039220697768671986
356,0.039220697768671986
357,0.10919925217720816
358,0.3462761357927162
359,0.2376716002823842
360,0.3662443359805334
361,-0.013423018530339004
362,0.07796153133457784
363,0.16126812897910314
364,0.16623540274944348
365,0.0944908352980458
366,0.07117627283656036
367,0.05927660553610892
368,0.0071684889647376515
369,-0.028987534772412005
370,-0.029852960921517457
371,0.015037876233830794
372,-0.04580953253316
373,0.20421552699795908
374,-0.0590335277108931
375,-0.08455738206621932
376,-0.15906468195220347
377,-0.03509131673245269
378,0.05218574863061898
379,0.10451269032560262
380,0.10840929066445826
381,0.11625979859832158
382,0.12588023867683473
383,0.14022933427418138
384,0.1594769172215984
385,0.061795716881011487
386,0.025879447030987546
387,0.03936107247194931
388,0.0412429571163635
389,0.03960913678747202
390,0.012861913228829902
391,-0.02917548818807658
392,-0.08581591663729915
393,-0.15894110197537836
394,-0.19927110584248364
395,-0.1670540753391574
396,0.023953239588029973
397,0.11712535069739438
398,0.036179654707344966
399,-0.26592387645932103
400,-0.1652495609954734
401,-0.1606823680723557
402,-0.12699967833776116
403,-0.18232153596062384
404,-0.16251890743895414
405,0.40546505908856245
406,0.6632941698761026
407,0.2006706862794152
408,0.34294473913002976
409,-0.03886886773708165
410,-0.030962224645230574
411,0.006269612817054515
412,0.018576384997782025
413,-0.012345835441245345
414,-0.05423976720601198
415,-0.11450970633359381
416,-0.20312467614337892
417,-0.278713387990257
418,-0.29565022162476895
419,-0.16487462885061266
420,0.018692131265122924
421,0.18540320766184815
422,0.06693947769447917
423,-0.021819045807674353
424,-0.022305755855740017
425,-0.03053672152867204
426,0.07466152319208641
427,0.1531223918876421
428,0.22067134994537652
429,0.23299583746795793
430,0.19530874536314435
431,0.10986647422220175
432,0.004325889822367035
433,0.0
434,0.0
435,0.0
436,0.0
437,-0.15032108694632296
438,-0.1670540785822907
439,-0.16741346650238897
440,-0.2243124467686317
441,-0.29747644978344523
442,-0.24906721405405952
443,-0.09531016970331585
444,-0.43936659848117254
445,0.34627618625526746
446,-0.03727139016617276
447,-0.14994012681437274
448,-0.07637296711324071
449,0.061557883523007506
450,0.0993724596946095
451,0.22853437234083618
452,0.0
453,0.08252101517102339
454,-0.07182572719817859
455,-0.23922966031368098
456,0.5937746462384785
457,-0.11034804846239865
458,0.01652930058509039
459,-0.06782259058667606
460,-0.15123095540240694
461,-0.22825862581667122
462,-0.197825715285052
463,-0.15154987255902364
464,-0.07550753824789824
465,-0.06062460956153526
466,-0.042559605360827035
467,0.02150620059561792
468,-0.02150620059561792
469,0.33024162572928417
470,0.2105647394396324
471,-0.09278172114435757
472,-0.05715840567001518
473,-0.07637296711324071
474,-0.1918909742325774
475,-0.2376716002823842
476,-0.07598588772247128
477,0.2336147963569568
478,0.27193366588047607
479,0.22631309392761345
480,0.08489943348327866
