,PM2.5_Scaled
556,0.4416054527193918
557,0.47829258419953
558,0.5182527771008885
559,0.5286263206889978
560,0.24279997973688433
561,0.30418648905791673
562,0.3815074260919119
563,0.4529972046082091
564,0.4626610371132809
565,0.4505369242117845
566,0.381295984409557
567,0.41934727946697853
568,0.41099608757145245
569,0.4278843246054979
570,0.4505369242117845
571,0.5810092591075589
572,0.5581880982789663
573,0.3774275894174508
574,0.40043323604445463
575,0.43447833756545173
576,0.4505369242117845
577,0.45863028376127957
578,0.494091573199485
579,0.4456042735410342
580,0.4627790449276776
581,0.4695250772765228
582,0.38864987921104044
583,0.5633328805969624
584,0.37087010932104486
585,0.33455440063754316
586,0.36620519854426037
587,0.49278211757975304
588,0.5343264208657236
589,0.49431463948361276
590,0.47107554480150954
591,0.4505369242117845
592,0.48692335389501695
593,0.536383116378592
594,0.5406208064876342
595,0.5269145290410422
596,0.4807886024500051
597,0.3911103287712984
598,0.4853491704075949
599,0.5185952411630166
600,0.47909076174484383
601,0.41706249635015946
602,0.45423187117941116
603,0.4162628651770802
604,0.40376475569917697
605,0.38438244056818505
606,0.40586156937517875
607,0.41902331833895134
608,0.40239252282219307
609,0.4201666335335401
610,0.4892580512834424
611,0.518237439169695
612,0.47006103105019376
613,0.47599562714100274
614,0.43027406449036715
615,0.41852516037510085
616,0.4299217880405253
617,0.5767672306857646
618,0.6121107888767104
619,0.4580384145411878
620,0.5236680572891499
621,0.47170061575787214
622,0.43120946227297474
623,0.39945827155360675
624,0.41153169315655735
625,0.44943959258347516
626,0.48142633591421274
627,0.49594775095838106
628,0.48474536304328364
629,0.4505369242117845
630,0.4505369242117845
631,0.4505369242117845
632,0.4505369242117845
633,0.42289313485024227
634,0.39127717501048276
635,0.4113124182394921
636,0.42017670542755814
637,0.42586892740380744
638,0.3829924505088942
639,0.4717690344910905
640,0.4463615778489552
641,0.38970244395558484
642,0.3628902407345491
643,0.3326037545314858
644,0.4032953304057778
645,0.4505369242117845
646,0.5474546170930572
647,0.448382204252221
648,0.491969899324172
649,0.47385196866156604
650,0.41310518458171436
651,0.3874276829484247
652,0.37836073879146026
653,0.4144849091062191
654,0.4619074948087614
655,0.4588993272764577
656,0.3919678106727343
657,0.28680834735139277
658,0.38150742925384196
659,0.548801897699233
660,0.5395554213507983
661,0.48023824831056683
662,0.48460772074228897
663,0.5017464781293711
664,0.4870491510727199
665,0.5401669624608285
666,0.5283948352959921
667,0.5925650765536878
668,0.4381474140586012
669,0.420383384452084
670,0.32893281619538856
671,0.31265883354988794
672,0.3642294136785012
673,0.45638729633823727
674,0.48699098267370083
675,0.4794450818310677
676,0.47787396725330855
677,0.4481122142713301
678,0.47427370053971973
679,0.5751732736247999
680,0.34411528218221604
681,0.3628151429008536
682,0.45846033736219066
683,0.5213103626679834
684,0.5323044787317757
685,0.5037400482640968
686,0.448792983659238
687,0.3671224731510832
688,0.3938480882001558
689,0.4574134732643574
690,0.6191740953518875
691,0.5329553547617994
692,0.4787570128228131
693,0.43595253059356404
694,0.4558893826676632
695,0.46626090235342144
696,0.4781467928456866
697,0.4661669566580178
698,0.3915730449900121
699,0.36986431214273285
